name,tumor,view,area_ratio,size_group,size_label,dice,iou,precision,recall
brisc2025_test_00399_me_co_t1,meningioma,coronal,0.0941162109375,large,large > 5%,0.8861031532287598,0.7954983711242676,0.9896000027656555,0.8022049069404602
brisc2025_test_00400_me_co_t1,meningioma,coronal,0.07489013671875,large,large > 5%,0.9715956449508667,0.9447603821754456,0.9965724349021912,0.9478402733802795
brisc2025_test_00401_me_co_t1,meningioma,coronal,0.04693603515625,medium,medium 1%-5%,0.9664879441261292,0.9351491332054138,0.9972337484359741,0.9375813007354736
brisc2025_test_00402_me_co_t1,meningioma,coronal,0.0474853515625,medium,medium 1%-5%,0.9255172610282898,0.8613607287406921,0.9985119104385376,0.862467885017395
brisc2025_test_00403_me_co_t1,meningioma,coronal,0.017578125,medium,medium 1%-5%,0.9389179944992065,0.8848684430122375,0.9438596367835999,0.9340277910232544
brisc2025_test_00404_me_co_t1,meningioma,coronal,0.02691650390625,medium,medium 1%-5%,0.9519343376159668,0.9082773923873901,0.9854369163513184,0.920634925365448
brisc2025_test_00405_me_co_t1,meningioma,coronal,0.01434326171875,medium,medium 1%-5%,0.9314516186714172,0.8716981410980225,0.8850574493408203,0.9829787015914917
brisc2025_test_00406_me_co_t1,meningioma,coronal,0.01263427734375,medium,medium 1%-5%,0.9417475461959839,0.8899082541465759,0.9463414549827576,0.9371980428695679
brisc2025_test_00407_me_co_t1,meningioma,coronal,0.02874755859375,medium,medium 1%-5%,0.9852320551872253,0.9708939790725708,0.9790356159210205,0.9915074110031128
brisc2025_test_00408_me_co_t1,meningioma,coronal,0.04583740234375,medium,medium 1%-5%,0.9361403584480286,0.8799472451210022,0.9896142482757568,0.8881491422653198
brisc2025_test_00409_me_co_t1,meningioma,coronal,0.044189453125,medium,medium 1%-5%,0.9818941354751587,0.9644322991371155,0.9901685118675232,0.9737569093704224
brisc2025_test_00410_me_co_t1,meningioma,coronal,0.10052490234375,large,large > 5%,0.985683798789978,0.971771776676178,0.9889975786209106,0.9823922514915466
brisc2025_test_00411_me_co_t1,meningioma,coronal,0.0244140625,medium,medium 1%-5%,0.9700748324394226,0.9418886303901672,0.9676616787910461,0.9725000262260437
brisc2025_test_00412_me_co_t1,meningioma,coronal,0.01275634765625,medium,medium 1%-5%,0.7977207899093628,0.6635071039199829,0.98591548204422,0.6698564887046814
brisc2025_test_00413_me_co_t1,meningioma,coronal,0.0565185546875,large,large > 5%,0.8808664083480835,0.7870967984199524,0.9945651888847351,0.7904967665672302
brisc2025_test_00414_me_co_t1,meningioma,coronal,0.07818603515625,large,large > 5%,0.8819444179534912,0.7888198494911194,0.9931573867797852,0.7931303381919861
brisc2025_test_00415_me_co_t1,meningioma,coronal,0.0538330078125,large,large > 5%,0.9644728899002075,0.9313835501670837,0.9916167855262756,0.9387755393981934
brisc2025_test_00416_me_co_t1,meningioma,coronal,0.05328369140625,large,large > 5%,0.9707260131835938,0.9431172013282776,0.9928143620491028,0.9495990872383118
brisc2025_test_00417_me_co_t1,meningioma,coronal,0.072021484375,large,large > 5%,0.9773213267326355,0.9556485414505005,0.9870354533195496,0.9677966237068176
brisc2025_test_00418_me_co_t1,meningioma,coronal,0.0235595703125,medium,medium 1%-5%,1.6286645643237563e-10,1.6286645643237563e-10,4.385964924580321e-10,2.590673509050845e-10
brisc2025_test_00419_me_co_t1,meningioma,coronal,0.06671142578125,large,large > 5%,0.9670329689979553,0.936170220375061,0.9679193496704102,0.9661481976509094
